start_time,speed,age,gender
01-29 18:43:43,14.15,60,1
01-29 19:05:54,16.65,49,1
01-29 17:59:32,0.98,46,1
01-29 18:58:38,16.59,29,1
01-29 18:48:07,7.59,20,2
01-29 18:36:28,11.50,26,2
01-29 18:49:11,13.70,27,2
01-29 18:43:15,15.34,30,2
01-29 18:33:40,7.90,52,1
01-29 18:38:44,13.66,29,1
01-29 18:33:05,12.09,61,1
01-29 18:20:03,9.90,31,2
01-29 18:29:30,10.84,34,1
01-29 18:28:21,14.76,28,1
01-29 18:11:59,8.91,28,2
01-29 18:19:32,9.52,24,2
01-29 18:24:40,10.71,29,2
01-29 18:16:17,12.31,30,1
01-29 18:14:23,15.49,34,1
01-29 17:56:44,4.36,47,1
01-29 18:16:19,9.27,35,1
01-29 18:10:44,8.77,32,1
01-29 18:06:18,14.53,30,2
01-29 17:55:16,11.81,36,1
01-29 18:03:20,10.29,29,1
01-29 18:03:42,26.43,50,1
01-29 17:59:30,9.82,30,2
01-29 17:49:42,11.08,41,1
01-29 17:56:14,13.22,31,2
01-29 17:49:21,9.94,32,2
01-29 17:46:58,14.39,28,1
01-29 17:47:05,12.58,31,2
01-29 17:46:09,12.50,60,1
01-29 17:47:42,16.84,30,1
01-29 17:43:36,9.51,46,1
01-29 17:34:54,9.77,20,1
01-29 17:42:44,18.61,51,1
01-29 17:23:18,13.82,30,2
01-29 17:27:23,9.43,58,1
01-29 17:30:35,13.68,35,1
01-29 17:29:55,13.03,44,1
01-29 17:18:25,18.03,39,1
01-29 17:29:20,12.18,56,1
01-29 17:24:28,9.70,58,1
01-29 17:17:26,13.16,27,1
01-29 17:06:59,13.57,48,1
01-29 17:15:17,6.60,27,2
01-29 17:17:57,15.68,50,1
01-29 17:19:30,11.52,44,1
01-29 17:19:04,16.54,38,1
01-29 17:13:32,10.12,29,2
01-29 17:09:43,10.88,37,1
01-29 17:10:50,12.80,34,1
01-29 17:08:19,12.41,29,2
01-29 17:09:39,14.48,50,1
01-29 17:07:02,12.88,29,1
01-29 17:05:07,9.28,39,1
01-29 17:07:35,12.81,26,2
01-29 16:58:40,18.06,29,1
01-29 17:03:42,22.04,38,1
01-29 16:54:05,11.89,34,1
01-29 16:49:51,9.35,38,1
